074 | 0000000140010309 | 49:83C2 04               | add r10,4                               | r10: 1400114D3-> 1400114D7 rflags: 292-> 206      |                                                   |
075 | 000000014001030D | 44:29C9                  | sub ecx,r9d                             | rcx: FFFFFFDF-> 789C98CA                          |                                                   |
076 | 0000000140010310 | 44:31C9                  | xor ecx,r9d                             | rcx: 789C98CA-> FFFFFFDF rflags: 206-> 282        |                                                   |
077 | 0000000140010313 | F7D1                     | not ecx                                 | rcx: FFFFFFDF-> 20                                |                                                   |
078 | 0000000140010315 | 41:01C9                  | add r9d,ecx                             | r9: 87636715-> 87636735 rflags: 282-> 286         |                                                   |
079 | 0000000140010318 | 49:83EF 08               | sub r15,8                               | r15: 15FC80-> 15FC78 rflags: 286-> 216            |                                                   |
07A | 000000014001031C | 49:890F                  | mov qword ptr ds:[r15],rcx              |                                                   | 000000000015FC78: A-> 20                          |
07B | 000000014001031F | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 20-> FFFFFFD6                                | 00000001400114D7: FFFFFFBBFFFFFFD6-> FFFFFFBBFFFF |
07C | 0000000140010322 | 49:83C2 04               | add r10,4                               | r10: 1400114D7-> 1400114DB rflags: 216-> 206      |                                                   |
07D | 0000000140010326 | 44:29C9                  | sub ecx,r9d                             | rcx: FFFFFFD6-> 789C98A1 rflags: 206-> 202        |                                                   |
07E | 0000000140010329 | 44:31C9                  | xor ecx,r9d                             | rcx: 789C98A1-> FFFFFF94 rflags: 202-> 282        |                                                   |
07F | 000000014001032C | F7D1                     | not ecx                                 | rcx: FFFFFF94-> 6B                                |                                                   |
080 | 000000014001032E | 41:01C9                  | add r9d,ecx                             | r9: 87636735-> 876367A0 rflags: 282-> 296         |                                                   |
081 | 0000000140010331 | FF24CB                   | jmp qword ptr ds:[rbx+rcx*8]            |                                                   | 0000000140011007: 1400100AE-> 1400100AE           |
082 | 00000001400100AE | 4D:8B1F                  | mov r11,qword ptr ds:[r15]              | r11: 140010C77-> 20                               | 000000000015FC78: 20-> 20                         | r11:"愾S"
083 | 00000001400100B1 | 49:83C7 08               | add r15,8                               | r15: 15FC78-> 15FC80 rflags: 296-> 212            |                                                   |
084 | 00000001400100B5 | 49:8B0F                  | mov rcx,qword ptr ds:[r15]              | rcx: 6B-> 15FE10                                  | 000000000015FC80: 15FE10-> 15FE10                 |
085 | 00000001400100B8 | 49:83C7 08               | add r15,8                               | r15: 15FC80-> 15FC88 rflags: 212-> 206            |                                                   |
086 | 00000001400100BC | 4C:01D9                  | add rcx,r11                             | rcx: 15FE10-> 15FE30                              |                                                   | r11:"愾S"
087 | 00000001400100BF | 9C                       | pushfq                                  | rsp: 15DD10-> 15DD08 rflags: 206-> 204            | 000000000015DD08: 0-> 206                         |
088 | 00000001400100C0 | 41:5B                    | pop r11                                 | rsp: 15DD08-> 15DD10 r11: 20-> 206 rflags: 204->  | 000000000015DD08: 206-> 206                       | r11:"愾S"
089 | 00000001400100C2 | 51                       | push rcx                                | rsp: 15DD10-> 15DD08                              | 000000000015DD08: 0-> 15FE30                      |
08A | 00000001400100C3 | 48:B9 FF0B014001000000   | mov rcx,consoleapplication1_protected - | rcx: 15FE30-> 140010BFF                           |                                                   |
08B | 00000001400100CD | 48:83C1 28               | add rcx,28                              | rcx: 140010BFF-> 140010C27 rflags: 206-> 216      |                                                   |
08C | 00000001400100D1 | 4C:8959 78               | mov qword ptr ds:[rcx+78],r11           |                                                   | 0000000140010C9F: 206-> 206                       | r11:"愾S"
08D | 00000001400100D5 | 59                       | pop rcx                                 | rcx: 140010C27-> 15FE30 rsp: 15DD08-> 15DD10      | 000000000015DD08: 15FE30-> 15FE30                 |
08E | 00000001400100D6 | 49:83EF 08               | sub r15,8                               | r15: 15FC88-> 15FC80 rflags: 216-> 202            |                                                   |
08F | 00000001400100DA | 49:890F                  | mov qword ptr ds:[r15],rcx              |                                                   | 000000000015FC80: 15FE10-> 15FE30                 |
